thing,property,desc,alarm_time
DG1Thing,BrgDE_Temp1,Too high,1704133200
DG1Thing,BrgDE_Temp1,Too high,1704138240
DG1Thing,BrgDE_Temp1,Too high,1704138300
DG1Thing,BrgDE_Temp1,Too high,1704138360
DG1Thing,BrgDE_Temp1,Too high,1704138420
DG1Thing,BrgDE_Temp1,Too high,1704138480
DG1Thing,BrgDE_Temp1,Too high,1704138540
DG1Thing,BrgDE_Temp1,Too high,1704138600
DG1Thing,BrgDE_Temp1,Too high,1704138660
DG1Thing,BrgDE_Temp1,Too high,1704138720
DE1Thing,Cy1ExhGasOutletTemp,Too high,1704133200
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704133860
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704133980
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704134040
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704134100
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704134160
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704134220
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704134280
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704134340
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704134400
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704134460
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704134520
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704134580
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704134760
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704135000
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704135060
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704135120
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704135180
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704135240
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704135720
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704135840
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704135960
DE1Thing,Cy1ExhGasOutletTemp,Too low,1704136020
DE1Thing,Cy2ExhGasOutletTemp,Too low,1704150540
DE1Thing,Cy4ExhGasOutletTemp,Too low,1704133200
DE1Thing,Cy4ExhGasOutletTemp,Too high,1704133260
DE1Thing,Cy4ExhGasOutletTemp,Too high,1704133320
DE1Thing,Cy4ExhGasOutletTemp,Too high,1704133380
DE1Thing,Cy4ExhGasOutletTemp,Too high,1704133440
DE1Thing,Cy4ExhGasOutletTemp,Too high,1704133500
DE1Thing,Cy4ExhGasOutletTemp,Too high,1704133560
DE1Thing,Cy4ExhGasOutletTemp,Too high,1704133620
DE1Thing,Cy4ExhGasOutletTemp,Too high,1704133680
DE1Thing,Cy5ExhGasOutletTemp,Too high,1704133200
DE1Thing,Cy6ExhGasOutletTemp,Too low,1704133200
DE1Thing,Cy7ExhGasOutletTemp,Too high,1704136020
DE1Thing,Cy8ExhGasOutletTemp,Too low,1704134520
DE1Thing,Cy8ExhGasOutletTemp,Too low,1704135840
DE1Thing,Cy8ExhGasOutletTemp,Too low,1704135960
DE1Thing,Cy8ExhGasOutletTemp,Too low,1704136020
DE1Thing,Cy9ExhGasOutletTemp,Too high,1704136080
DE1Thing,Power,Too low,1704133200
DE1Thing,Power,Too low,1704133380
DE1Thing,Power,Too low,1704133440
DE1Thing,Power,Too low,1704133500
DE1Thing,Power,Too low,1704133560
