thing,property,ships_count,desc,tag_description
GeneratorEngine1,Cy1ExhGasOutletTemp,1107, 'NO.1 G/E CYL1 EXH. GAS_TEMP' refers to the exhaust gas temperature of cylinder 1 of generator engine number 1.,NO.1 G/E CYL1 EXH. GAS_TEMP
MainEngine1,Cy1ExhGasOutletTemp,318, 'M/E 1 CYL EXH GAS OUT_TEMP' is the temperature of the exhaust gas leaving cylinder 1 of the ship's Main Engine 1.,M/E 1 CYL EXH GAS OUT_TEMP
MainEngine1,Cy1CWTemp,294, 'M/E 1 CYL. JACKET CFW OUT_TEMP' refers to the temperature of the cylinder jacket cooling fresh water outlet for Main Engine 1.,M/E 1 CYL. JACKET CFW OUT_TEMP
GeneratorEngine1,WindingTempR,159, 'NO.1 G/E WINDING(R)_TEMP' refers to the temperature of the right winding of generator number 1.,NO.1 G/E WINDING(R)_TEMP
GeneratorEngine1,FOInletTemp,159, 'NO.1 G/E F.O INLET_TEMP' refers to the temperature of the fuel oil entering the number 1 generator engine.,NO.1 G/E F.O INLET_TEMP
GeneratorEngine1,WindingTempS,159," 'NO.1 G/E WINDING(S)_TEMP' refers to the temperature of the windings in Generator 1, which is one of the ship's main electricity generators.",NO.1 G/E WINDING(S)_TEMP
GeneratorEngine1,WindingTempT,159, 'NO.1 G/E WINDING(T)_TEMP' refers to the temperature of the No. 1 generator engine winding.,NO.1 G/E WINDING(T)_TEMP
GeneratorEngine1,CFWOutletTemp,157, 'NO.1 G/E HT WATER OUT_TEMP' refers to the temperature of the heated water exiting the number 1 generator engine's heat exchanger.,NO.1 G/E HT WATER OUT_TEMP
GeneratorEngine1,ScavTemp,156, 'NO.1 G/E CHARGE AIR_TEMP' refers to the temperature of the charge air for the number 1 generator engine's turbocharger.,NO.1 G/E CHARGE AIR_TEMP
GeneratorEngine1,FOInletPress,155, 'NO.1 G/E F.O/M.G.O IN_PRESS' refers to the fuel oil/marine gas oil inlet pressure reading for Generator Engine #1.,NO.1 G/E F.O/M.G.O IN_PRESS
GeneratorEngine1,RPM,155, 'NO.1 G/E ENGINE_RPM' refers to the revolutions per minute of the number 1 generator engine.,NO.1 G/E ENGINE_RPM
GE1TurboCharger1,RPM,153, 'NO.1 G/E T/C_RPM' refers to the revolutions per minute of the turbine controller for the number 1 generator engine.,NO.1 G/E T/C_RPM
GE1TurboCharger1,ExhGasOutletTemp,152, 'NO.1 G/E T/C EXH. GAS OUT_TEMP' refers to the temperature sensor reading for the exhaust gas output temperature of generator engine #1.,NO.1 G/E T/C EXH. GAS OUT_TEMP
GeneratorEngine1,ScavPress,152, 'NO.1 G/E CHARGE AIR_PRESS' refers to the air pressure of the number 1 generator engine's turbocharger.,NO.1 G/E CHARGE AIR_PRESS
MainEngine1,Cy1PCOtemp,152, 'M/E NO.1 PISTON CLO OUT_TEMP' refers to the temperature of the exhaust gas leaving the No.1 main engine piston closure.,M/E NO.1 PISTON CLO OUT_TEMP
GeneratorEngine1,CFWInletPress,147, 'NO.1 G/E HT WATER IN_PRESS' refers to the inlet pressure of the high temperature water going into generator engine number 1.,NO.1 G/E HT WATER IN_PRESS
GeneratorEngine1,RunningState,144, 'NO.1 G/E_RUN' indicates whether the number 1 generator engine is running.,NO.1 G/E_RUN
GeneratorEngine1,Voltage,144, 'NO.1 D/G VOLTAGE' refers to the voltage generated by diesel generator number 1.,NO.1 D/G _VOLTAGE
GeneratorEngine1,CFWInletTemp,144, 'NO.1 G/E HT WATER IN_TEMP' refers to the temperature of the heated water entering the number 1 generator engine.,NO.1 G/E HT WATER IN_TEMP
GE1TurboCharger1,ExhGasInletTempA,143, 'NO.1 G/E EXH. GAS TC(A) IN_TEMP' refers to the temperature sensor measuring the inlet exhaust gas temperature of generator engine #1.,NO.1 G/E EXH. GAS TC(A) IN_TEMP
GeneratorEngine1,GenPower,142, 'NO.1 D/G_POWER' refers to the power generated by diesel generator number 1.,NO.1 D/G_POWER
GeneratorEngine1,Frequency,140, 'NO.1 D/G FREQUENCY' refers to the operating frequency of the number 1 diesel generator.,NO.1 D/G _FREQUENCY
GeneratorEngine1,LOInletTemp,138, 'NO.1 G/E LO INLET_TEMP' refers to the temperature of the lube oil entering the number one generator engine.,NO.1 G/E LO INLET_TEMP
GeneratorEngine1,Current,137, 'NO.1 D/G_CURRENT' refers to the electric current being generated by diesel generator number 1 on the ship.,NO.1 D/G_CURRENT
GeneratorEngine1,LOInletPress,136, 'NO.1 G/E LO INLET_PRESS' refers to the lube oil inlet pressure for the number 1 generator engine.,NO.1 G/E LO INLET_PRESS
GE1TurboCharger1,LOInletPress,133, 'NO.1 G/E T/C LO_PRESS' refers to the low pressure turbine casing thermocouple for the number 1 generator engine.,NO.1 G/E T/C LO_PRESS
GeneratorEngine1,LTInletPress,109, 'NO.1 G/E LT WATER IN_PRESS' refers to the inlet water pressure for the #1 generator lube oil cooler.,NO.1 G/E LT WATER IN_PRESS
GE1TurboCharger1,ExhGasInletTempB,107, 'NO.1 G/E EXH. GAS TC(B) IN_TEMP' refers to the temperature sensor reading for the inlet exhaust gas temperature of turbocharger B for the number 1 main engine.,NO.1 G/E EXH. GAS TC(B) IN_TEMP
GeneratorEngine1,LTInletTemp,100, 'NO.1 G/E LT WATER IN_TEMP' refers to the inlet temperature of lube oil for the No.1 generator diesel engine.,NO.1 G/E LT WATER IN_TEMP
GeneratorEngine1,FOFilterInletPress,92, 'NO.1 G/E F.O FILTER IN_PRESS' refers to the inlet pressure of the fuel oil filter for the number 1 generator engine.,NO.1 G/E F.O FILTER IN_PRESS
GeneratorEngine1,LOFilterInletPress,90, 'NO.1 G/E LO FILTER IN_PRESS' refers to the inlet pressure of the lube oil filter for the number 1 generator engine.,NO.1 G/E LO FILTER IN_PRESS
GeneratorEngine1,LTOutletTemp,82, 'NO.1 G/E LT WATER OUTLET TEMP' refers to the temperature of the lube oil cooling water leaving the No.1 generator engine.,NO.1 G/E LT WATER OUTLET TEMP
ShipBoiler1,SteamDrumPress,81," BOILER STEAM_PRESS is the pressure of the steam generated by the ship's boilers, measured in units of pressure like PSI or bar.",BOILER STEAM_PRESS
ShipBoiler1,WaterDrumLevel,80," BOILER DRUM_LEVEL is the measured level of water in the boiler drum, which is used to control the firing rate to maintain the proper water level.",BOILER DRUM_LEVEL
GeneratorEngine1,SAPress,76, 'NO.1 G/E START AIR IN_PRESS' refers to the inlet air pressure for starting the number 1 gas turbine engine.,NO.1 G/E START AIR IN_PRESS
ShipBoiler1,DoUse,70, 'BOILER_M.G.O USE' indicates whether the main generator oil boiler is in use.,BOILER_M.G.O USE
ShipBoiler1,FOInletTemp,67, 'BOILER F.O IN BURNER_TEMP' refers to the temperature of the fuel oil as it enters the boiler burner.,BOILER F.O IN BURNER_TEMP
ShipBoiler1,FOInletPress,66, 'BOILER F.O IN BURNER_PRESS' measures the pressure of the fuel oil as it enters the burner in the boiler.,BOILER F.O IN BURNER_PRESS
ShipBoiler1,RunningState,66, 'AUX. BLR.RUN(FIRING)' is a parameter that indicates whether the auxiliary boiler is currently firing or not.,AUX. BLR.RUN(FIRING)
ME1TurboCharger1,RPM,65," 'M/E T/C RPM' stands for Main Engine Turbocharger Revolutions Per Minute, which measures the rotational speed of the turbocharger attached to the ship's main engine.",M/E T/C_RPM
ME1TurboCharger1,ExhGasInletTemp,65, 'M/E T/C EXH GAS INLET_TEMP' is the temperature sensor measuring the exhaust gas inlet temperature of the main engine turbocharger.,M/E T/C EXH GAS INLET_TEMP
ME1TurboCharger1,ExhGasOutletTemp,65, 'M/E T/C EXH GAS OUTLET_TEMP' measures the temperature of the exhaust gas leaving the main engine turbocharger.,M/E T/C EXH GAS OUTLET_TEMP
GeneratorEngine1,DoUse,63, 'G/E_M.G.O USE' refers to the usage of the main gas oil supply on a ship's general electric and main generator systems.,G/E_M.G.O USE
ME1TurboCharger1,LOInletPress,54, 'M/E T/C L.O IN_PRESS' stands for Main Engine TurboCharger Lube Oil Inlet Pressure.,M/E T/C L.O IN_PRESS
Shaft1,RPM,53, SPS_SHAFT SPEED is the rotational speed of the ship's propulsion shaft in revolutions per minute.,SPS_SHAFT SPEED
Shaft1,ShaftPower,53, SPS_SHAFT POWER is the power delivered by the ship's main propulsion engines to the propeller shaft.,SPS_SHAFT POWER
Shaft1,ShaftTorque,53, SPS_SHAFT TORQUE measures the torque on the ship's propulsion shaft in kilonewton-meters.,SPS_SHAFT TORQUE
GeneratorEngine1,Load,52, 'NO.1 G/E LOAD(%)' refers to the percentage of rated power that generator 1 is producing.,NO.1 G/E LOAD(%)
MainEngine1,ScavTemp,51, M/E SCAV AIR RECEIVER_TEMP measures the temperature of the scavenge air receiver on the main engines.,M/E SCAV AIR RECEIVER_TEMP
MainEngine1,RPM,51," M/E_RPM is the main engine revolutions per minute, indicating the rotational speed of the ship's main propulsion engine.",M/E_RPM
MainEngine1,ScavPress,51, M/E SCAV AIR PRESS is the air pressure in the main engine scavenge air system.,M/E SCAV AIR_PRESS
MainEngine1,FOInletPress,50, 'M/E F.O INLET_PRESS' is the fuel oil inlet pressure to the main engine.,M/E F.O INLET_PRESS
ME1TurboCharger1,LOOutletTemp,50, 'M/E T/C LO OUT_TEMP' refers to the temperature sensor reading for the lube oil outlet from the main engine turbocharger.,M/E T/C LO OUT_TEMP
SB1Flow,FOVolumeFlowIn,49, 'BOILER F.O FLOW' refers to the flow rate of fuel oil supplied to the ship's boiler.,BOILER F.O _FLOW
MainEngine1,DoUse,49, 'M/E_M.G.O USE' refers to the use of the main engine maneuvering gear oil system on a ship.,M/E_M.G.O USE
MainEngine1,FOInletTemp,49, 'M/E F.O INLET_TEMP' is the temperature of the fuel oil as it enters the main engine.,M/E F.O INLET_TEMP
Navigation,AfterDraft,46, 'AFT. DRAFT_LEVEL' refers to the draft or depth of water needed at the stern or aft end of the ship to float properly.,AFT. DRAFT_LEVEL
Navigation,MidSDraft,46," 'MID.DRAFT(S)_LEVEL' refers to the draft measurement of the ship at amidships, which is the midway point between the bow and the stern.",MID. DRAFT(S)_LEVEL
Navigation,MidPDraft,46," 'MID.DRAFT(P)_LEVEL' refers to the draft of the ship measured at the perpendiculars, in feet.",MID. DRAFT(P)_LEVEL
Navigation,ForwardDraft,46," FORE DRAFT_LEVEL is the draft reading at the forward draft marks, indicating the depth of the ship's hull below the waterline at the bow.",FORE DRAFT_LEVEL
ShipBoiler1,ExhGasOutletTemp,45, 'BOILER EXH. GAS OUT_TEMP' is the temperature of the exhaust gas leaving the boiler.,BOILER EXH. GAS OUT_TEMP
EngineRoom,AirPress,44, M/E AMBIENT_PRESSURE is a sensor that measures the ambient air pressure in millibars inside the ship's mechanical/electrical compartment.,M/E AMBIENT_PRESSURE
